repo_name,repo_url,owners,active,has_secrets,has_vars,has_code,migrated,updated_at
"knowledge-connector-app-HTML","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/knowledge-connector-app-HTML	","fransiska-nexon","Yes","No","No","Yes","No","2024-05-13T05:03:00Z"
"NPAS-GUI-AWS-REACT---Source-Code","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/NPAS-GUI-AWS-REACT---Source-Code	","fransiska-nexon","Yes","No","No","Yes","No","2024-05-13T04:21:34Z"
"LifeBlood_MyTime_Leave_Balance","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/LifeBlood_MyTime_Leave_Balance	","Louis-Veridian","Yes","No","No","Yes","No","2024-05-07T01:48:26Z"
"legalstream-apim","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/legalstream-apim	","jmnap","Yes","No","No","Yes","No","2024-04-16T05:59:41Z"
"legalstream-landingzone","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/legalstream-landingzone	","jmnap","Yes","No","No","Yes","Yes","2024-04-15T04:52:21Z"
"Lifeblood_MyTime_LunchTracking","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/Lifeblood_MyTime_LunchTracking	","csa-bconnors,Dedme csa-mstein","Yes","No","No","Yes","No","2024-04-08T23:55:56Z"
"LFS_Verint_Payroll_Intergration","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/LFS_Verint_Payroll_Intergration	","Louis-Veridian,lv-Nexon-Asia-Pacific","Yes","No","No","Yes","No","2024-04-04T04:33:15Z"
"Lifeblood_MyTime_SessionTracking","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/Lifeblood_MyTime_SessionTracking	","Louis-Veridian","Yes","No","No","No","No","2024-03-25T04:35:41Z"
"uon-rit-migration","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/uon-rit-migration	","nexon-jvalencia","Yes","No","No","Yes","No","2024-03-20T11:31:40Z"
"ART_Outbound_App","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/ART_Outbound_App	","fransiska-nexon","Yes","No","No","No","No","2024-03-01T00:21:38Z"
"Documents","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/Documents	","lv-Nexon-Asia-Pacific","Yes","No","No","No","No","2024-02-27T04:29:26Z"
"NPAS-App-Demo-Infra","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/NPAS-App-Demo-Infra	","iyad-aljayousi-nexon","Yes","Yes","No","Yes","No","2024-01-22T09:30:38Z"
"aws-scripts","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/aws-scripts	","csa-mstein","Yes","No","No","Yes","No","2024-01-18T00:42:48Z"
"MlcLegacyRecordings","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/MlcLegacyRecordings	","Louis-Veridian","Yes","No","No","Yes","No","2023-12-18T00:45:57Z"
"NPAS-GUI","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/NPAS-GUI	","fransiska-nexon","Yes","No","No","Yes","No","2023-11-30T23:30:01Z"
"nexon-secops-toga-lz","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/nexon-secops-toga-lz	","jmnap","Yes","No","No","Yes","Yes","2023-11-28T23:21:25Z"
"nexon-secops-lz","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/nexon-secops-lz	","jmnap","Yes","No","No","Yes","Yes","2023-11-13T04:04:33Z"
"NPAS-Backend","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/NPAS-Backend	","lv-Nexon-Asia-Pacific,Louis-Veridian","Yes","No","No","Yes","No","2023-11-03T04:51:24Z"
"cx-practice","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/cx-practice	","ruchin3","Yes","No","No","Yes","No","2023-06-16T06:01:33Z"
"Qantas-Levenshtein-Algorithm-Lambda","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/Qantas-Levenshtein-Algorithm-Lambda	","hardipsinhjadeja","Yes","No","No","Yes","No","2023-02-17T15:08:18Z"
"Qantas-AWS","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/Qantas-AWS	","csa-bconnors,Dedme csa-mstein","Yes","No","No","No","No","2023-02-13T21:57:29Z"
"genesys-cloud-messaging-agentauth","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/genesys-cloud-messaging-agentauth	","hardipsinhjadeja,CJCarlisle","Yes","No","No","Yes","No","2022-10-13T06:20:19Z"
"terraform-qantas-module","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/terraform-qantas-module	","hisrarul","Yes","No","No","Yes","No","2022-10-11T03:03:57Z"
"terraform-apigateway-module","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/terraform-apigateway-module	","hisrarul","Yes","No","No","Yes","No","2022-10-10T18:52:52Z"
"terraform-dynamodb-module","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/terraform-dynamodb-module	","hisrarul","Yes","No","No","Yes","No","2022-10-10T18:50:41Z"
"terraform-lambda-module","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/terraform-lambda-module	","hisrarul","Yes","No","No","Yes","No","2022-10-09T02:43:52Z"
"terraform-iam-module","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/terraform-iam-module	","hisrarul","Yes","No","No","Yes","No","2022-10-09T02:19:55Z"
"terraform-cloudfront-module","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/terraform-cloudfront-module	","hisrarul","Yes","No","No","Yes","No","2022-10-05T15:15:51Z"
"terraform-static-web-module","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/terraform-static-web-module	","hisrarul","Yes","No","No","Yes","No","2022-10-03T19:56:12Z"
"Nexon-Accelerate-Portal","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/Nexon-Accelerate-Portal	","RahulBhavani,RahulBhavani1","Yes","No","No","Yes","No","2022-09-12T04:21:44Z"
"service-packer-bakery","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/service-packer-bakery	","csa-bconnors","Yes","No","No","No","No","2022-06-23T05:48:47Z"
"module-ec2-instance","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/module-ec2-instance	","csa-bconnors","Yes","No","No","No","No","2022-06-23T05:35:39Z"
"app-githubrunner","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/app-githubrunner	","csa-bconnors","Yes","No","No","No","No","2022-06-23T05:29:28Z"
"module-aws-tags","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/module-aws-tags	","csa-bconnors","Yes","No","No","No","No","2022-06-23T05:24:31Z"
"pubcloud-internal-azurefunctions","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/pubcloud-internal-azurefunctions	","jmnap,nexonprojects","Yes","Yes","No","Yes","No","2022-04-19T00:04:10Z"
"pubcloud-script-repo","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/pubcloud-script-repo	","jmnap,Dale-Hutton nexonprojects","Yes","No","No","Yes","No","2022-04-04T04:32:53Z"
